Harker LL,vs,Nueva AG,TOC 2026,Finals,https://youtu.be/pCMmQnHvaAo,War Powers
Harker LL,vs,Pittsburgh Central AG,TOC 2026,Semis,https://youtu.be/scA5of40uvA,War Powers
William Fremd IB,vs,Nueva AG,TOC 2026,Semis,https://youtu.be/cA4HE3Bmr50,War Powers
Harker LL,vs,Westwood SP,TOC 2026,Quarters,https://www.youtube.com/watch?v=2Ld6L77XAp4,War Powers
William Fremd IB,vs,Seven Lakes CL,TOC 2026,Quarters,https://youtu.be/noIg6QtRVC0,War Powers
Pittsburgh Central AG,vs,Montgomery Blair LT,TOC 2026,Quarters,https://youtu.be/_1T6ygt6aB0,War Powers
Emerald AG,vs,William Fremd IB,TOC 2026,Octos,https://youtu.be/XLKKG4nzdS0,War Powers
,,,,,,
,,,,,,
Strake SC,vs,Seven Lakes CL,King RR 2026,Finals,https://youtu.be/8Adb54APjT4,War Powers
,,,,,,
Aiden Baur,vs,Rian Chadha,EIF 2026,Demo,https://youtu.be/QMxdXT-nL30,Corporate Residences Acquisition 
,,,,,,
Strake CM,vs,Seven Lakes CL,TFA State 2026,Semis,https://youtu.be/BasMQTq9hyM,Corporate Residences Acquisition 
Westwood PS,vs,Strake HL,TFA State 2026,Doubles,https://youtu.be/3P1tnLZJplY,Corporate Residences Acquisition 
,,,,,,
Plano West AB,vs,Germantown Friends LZ,Harvard 2026,Finals,https://youtu.be/8OUAud7aGnQ,Sports Betting
Plano West AB,vs,Pittsburgh Central AG,Harvard 2026,Semis,https://youtu.be/PiUw6v64fT0,Sports Betting
,,,,,,
Awty International XZ,vs,Emerald GK,Cal RR 2026,Semis,https://youtu.be/8IyNUE7OQSc,Sports Betting
,,,,,,
Fairmont TK,vs,Harker GV,UNLV 2026,Octos,https://www.youtube.com/watch?v=uos5L1tJzds,
,,,,,,
Strake SM,vs,Nueva AG,Emory 2026,Finals,https://youtu.be/RQdixwnwQhM,China Extraction
Strake SM,vs,Harker LL,Emory 2026,Semis,https://youtu.be/sLaDggowGdE,China Extraction
,,,,,,
Nueva AG,vs,Harker LL,Ivy Street RR 2026,Finals,https://youtu.be/MvZiD0lHLlM,China Extraction
Harker LL,vs,Lincoln Sudbury CR,Ivy Street RR 2026,R5,https://youtu.be/huDPJrTmfXI,China Extraction
Strake HL,vs,Delbarton AX,Ivy Street RR 2026,R5,https://youtu.be/dWA5qLCKSj8,China Extraction
Awty International XZ,vs,Fairmont TK,Ivy Street RR 2026,R5,https://youtu.be/cDp0lp6znXM,China Extraction
Fairmont LS,vs,Strake MS,Ivy Street RR 2026,R5,https://youtu.be/f4WygZd5v3o,China Extraction
Richard Montgomery WY,vs,Pittsburgh Central AG,Ivy Street RR 2026,R5,https://youtu.be/sGO9FIv7n3Y,China Extraction
Nueva AG,vs,Taipei American HT,Ivy Street RR 2026,R5,https://youtu.be/XrXBbS6wPwg,China Extraction
Delbarton AX,vs,Harker LL,Ivy Street RR 2026,R4 ,https://youtu.be/z5X14EoppB8,China Extraction
